Period (s), SA (ms2)
2.30000E+01, 1.64290E-04
1.15000E+01, 1.79870E-04
7.66667E+00, 1.36593E-04
5.75000E+00, 1.26279E-04
4.60000E+00, 1.04165E-04
3.83333E+00, 1.15332E-04
3.28571E+00, 1.08163E-04
2.87500E+00, 1.36366E-04
2.55556E+00, 1.83059E-04
2.30000E+00, 1.84001E-04
2.09091E+00, 1.76549E-04
1.91667E+00, 2.05095E-04
1.76923E+00, 2.77220E-04
1.64286E+00, 3.12760E-04
1.53333E+00, 3.19340E-04
1.43750E+00, 3.39906E-04
1.35294E+00, 3.91076E-04
1.27778E+00, 4.32753E-04
1.21053E+00, 5.15783E-04
1.15000E+00, 6.44996E-04
1.09524E+00, 7.84772E-04
1.04545E+00, 8.77401E-04
1.00000E+00, 9.74168E-04
9.58333E-01, 1.03923E-03
9.20000E-01, 1.06738E-03
8.84615E-01, 1.13240E-03
8.51852E-01, 1.24598E-03
8.21429E-01, 1.36786E-03
7.93103E-01, 1.51616E-03
7.66667E-01, 1.77650E-03
7.41935E-01, 2.14867E-03
7.18750E-01, 2.54779E-03
6.96970E-01, 2.85908E-03
6.76471E-01, 3.04102E-03
6.57143E-01, 3.16854E-03
6.38889E-01, 3.20839E-03
6.21622E-01, 3.20921E-03
6.05263E-01, 3.35751E-03
5.89744E-01, 3.66756E-03
5.75000E-01, 4.01100E-03
5.60976E-01, 4.30738E-03
5.47619E-01, 4.54685E-03
5.34884E-01, 4.69395E-03
5.22727E-01, 4.75634E-03
5.11111E-01, 4.92283E-03
5.00000E-01, 5.16016E-03
4.89362E-01, 5.25138E-03
4.79167E-01, 5.17921E-03
4.69388E-01, 5.04262E-03
4.60000E-01, 4.89195E-03
4.50980E-01, 4.78486E-03
4.42308E-01, 4.78375E-03
4.33962E-01, 4.85324E-03
4.25926E-01, 4.93242E-03
4.18182E-01, 4.97650E-03
4.10714E-01, 4.92619E-03
4.03509E-01, 4.79356E-03
3.96552E-01, 4.65309E-03
3.89831E-01, 4.58600E-03
3.83333E-01, 4.64175E-03
3.77049E-01, 4.81268E-03
3.70968E-01, 5.04903E-03
3.65079E-01, 5.29103E-03
3.59375E-01, 5.48890E-03
3.53846E-01, 5.62317E-03
3.48485E-01, 5.72272E-03
3.43284E-01, 5.83922E-03
3.38235E-01, 5.99335E-03
3.33333E-01, 6.15609E-03
3.28571E-01, 6.28256E-03
3.23944E-01, 6.37323E-03
3.19444E-01, 6.47371E-03
3.15068E-01, 6.63739E-03
3.10811E-01, 6.89703E-03
3.06667E-01, 7.23228E-03
3.02632E-01, 7.56097E-03
2.98701E-01, 7.79032E-03
2.94872E-01, 7.89205E-03
2.91139E-01, 7.91285E-03
2.87500E-01, 7.91664E-03
2.83951E-01, 7.93711E-03
2.80488E-01, 7.97823E-03
