Period (s), SA (ms2)
3.00000E+01, 2.89741E-04
1.50000E+01, 1.83817E-04
1.00000E+01, 1.69761E-04
7.50000E+00, 1.66189E-04
6.00000E+00, 1.71554E-04
5.00000E+00, 1.87331E-04
4.28571E+00, 1.74377E-04
3.75000E+00, 1.88274E-04
3.33333E+00, 2.09210E-04
3.00000E+00, 2.06990E-04
2.72727E+00, 2.31941E-04
2.50000E+00, 2.64243E-04
2.30769E+00, 2.46753E-04
2.14286E+00, 2.41207E-04
2.00000E+00, 2.77271E-04
1.87500E+00, 2.85462E-04
1.76471E+00, 2.85223E-04
1.66667E+00, 3.18083E-04
1.57895E+00, 3.68631E-04
1.50000E+00, 4.10509E-04
1.42857E+00, 4.60487E-04
1.36364E+00, 4.89090E-04
1.30435E+00, 4.98282E-04
1.25000E+00, 5.31198E-04
1.20000E+00, 5.45029E-04
1.15385E+00, 5.82725E-04
1.11111E+00, 6.46942E-04
1.07143E+00, 7.34642E-04
1.03448E+00, 8.21253E-04
1.00000E+00, 8.96298E-04
9.67742E-01, 9.68787E-04
9.37500E-01, 1.04845E-03
9.09091E-01, 1.13997E-03
8.82353E-01, 1.25783E-03
8.57143E-01, 1.38427E-03
8.33333E-01, 1.49787E-03
8.10811E-01, 1.62819E-03
7.89474E-01, 1.79075E-03
7.69231E-01, 1.99129E-03
7.50000E-01, 2.19921E-03
7.31707E-01, 2.33123E-03
7.14286E-01, 2.35763E-03
6.97674E-01, 2.33599E-03
6.81818E-01, 2.35300E-03
6.66667E-01, 2.42959E-03
6.52174E-01, 2.55402E-03
6.38298E-01, 2.74018E-03
6.25000E-01, 2.97243E-03
6.12245E-01, 3.19801E-03
6.00000E-01, 3.38170E-03
5.88235E-01, 3.50812E-03
5.76923E-01, 3.59683E-03
5.66038E-01, 3.69073E-03
5.55556E-01, 3.80631E-03
5.45455E-01, 3.96209E-03
5.35714E-01, 4.18108E-03
5.26316E-01, 4.46279E-03
5.17241E-01, 4.78409E-03
5.08475E-01, 5.12439E-03
5.00000E-01, 5.46393E-03
4.91803E-01, 5.78718E-03
4.83871E-01, 6.11959E-03
4.76190E-01, 6.49556E-03
